ジャンル,投稿日時,星の数,見出し,レビュー全文,ネタバレに該当する部分
,,5,"巧緻にして周到なトリック小説
","ミステリを読む際、犯人やトリックさえ判れば再読する価値はない、
とする考え方がある一方、逆に、真相が判ったからこそ、伏線の配置が
適切であったか、ヒントの提示がフェアであったかなどを検証するために
再読する、といった考え方もあります。

本作は、後者の考えを促す最たるものであり、
「こんなトリックすぐわかった。つまらん」といった
タイプの方には、あまり楽しめない仕様となっています。

たしかに、本作で用いられているような叙述トリックには、前例がありますし、
本格原理主義の立場からすれば、手法自体が邪道なのかもしれません。

しかし、単にトリックだけを取り上げて評価するのではなく、俎上に上げられた
「素材」との相関のさせ方にこそ、著者の創見を見るべきだと私は思います。

本作の「素材」は恋愛ですが、その描き方はいかにも陳腐で類型的。

もちろん、著者はそのことに自覚的であり、
一種の確信犯としてやっています。

本作の単行本版が刊行された2004年は、韓流ドラマや
セカチュー、イマアイなど「純愛」ブームが花盛りの頃です。

そうした風潮が蔓延していた当時に、こんな身もフタもなく、
毒っ気たっぷりの「恋愛小説」を出すところに、著者一流の
皮肉と批評性を感じます。

ごく平凡で、ありきたりな男女の恋愛話が、真相を知って
読み返すと、まったく違った相貌を見せる――。

本作は、少々大げさですが、紙媒体における小説の
可能性を真摯に追究した野心作といえるでしょう。",
,,1,"勘違いして買ってしまった、だまし絵的作品
","男性作家なのにペンネームから女性作家と勘違いし、恩田陸さんの一連の青春小説のようなさわやかな恋愛小説を期待して買ったのが間違いだった。
作者のいうイニシエーション・ラブとは、私の想像していたようなさわやかな恋愛ではなく、初めての性体験の意味だと、本を読んではじめて知った。それも、この小説では、男性の側だけイニシエーション・ラブで、女性の側はそうではない。先に読んだ市川拓司の「そのときは彼によろしく」のなかに、通過儀礼という名の年上女性との性的初体験の話が書かれていたのを忘れていたのだ。
恋愛小説としては、青春期特有の、生にたいする疑問や期待、正義感、異姓にたいする憧憬、傷つきやすく純真な心情、感じやすくみずみずしくロマンティクな情感、これらの何一つにも触れられていない。単に、相手女性の真実にも気付かない感性の鈍い男性の、性体験物語にすぎない。
そして、この小説は、ミステリーともいえないだろう。ミステリーにはもっとわくわくするような不思議なムードと、先へ先へと読者を誘導する強いパワーがある。これは、ただどこにおかしなところがあるか発見すればよいだけのクイズ小説だ。
解説者は二度読めというけれど、二度は読めない。面白くないのを我慢して、やっと読んだのだから。
評判のよいのが不思議なくらい、けれん味の目立つ、情感の感じられない小説である。",
,,1,"正直にかきますね
","私も、「絶対に二度読みたくなる小説」という文にひかれて買ってみました。

まず文章について。同じような文末の連続、描写不足。心情説明もあまり上手くなく、感情移入ができませんでした。素人の携帯小説（読んだことないですが、まあイメージ、決して携帯小説の書いているプロ作家さんを馬鹿にしているのではないです。）を読んでいる感覚でした。内容云々語る前に、文章の読みにくさが目についてしまいます。しかし、乾さんの別の作品である「リピート」も同じように感じたので、これは単に私の好みなのかもしれません。これは皆さんが冒頭数ページを読んでみれば買う前にわかることでしょう。

次に肝心のトリックですが、がっかりでした。いえ、それ以下だったでしょうか。なにせ目次を開いた瞬間に、「もしかしてこういうトリックじゃないだろうなぁ」と思ったものが最後の最後まで、なんの裏切りもなく続いてしまって、そのまま終わってしまいました。読みにくい文章を読み進めていくうちに、内容を読み始める前に何も考えるまでもなく思いついた考えが補完されていく感覚。伏線を拾い集めていく過程が、段々と読む気を失わせるミステリなんて初めてでした。それでも、きっとここまで言うのなら最後の二行で裏切ってくれるんだろうと読み進めましたが、時間の無駄におわりました。

ミステリ的なトリックが駄目だった私にとってのこの作品は、さらに内容でも追い討ちをかけます。正直恋愛小説というものをほとんど読んだことがない私ですが（完全に恋愛物で読んだことがあるのが有川浩さんの「植物図鑑」くらいでしょうか）、多分この作品は悪い部類に入るのではないでしょうか。私の場合、文章自体に相性が悪いのも影響してるのでしょうが、主人公・ヒロインともども行動の意図・心情が理解できないことが度々ありました。「恋愛」というテーマを主軸にしている以上、これは致命的ではないでしょうか。展開も私がイメージできるようなそのままで、まったく山場がない。

良かった点といえば、伏線・・・というかヒントというか、がなかなか練られていた点でしょうか。私は現在大学生の平成生まれなので、結構わからないものもありました（時代設定が少し昔なんです）が、きちんとこの時代を知っている人が読んだなら、感心できるのかも知れません。私に関しては後ろの解説の方を読ませていただいて、それで「あぁ、そうなんだ」と理解したものがいくつかありました。ちなみに、これが分からなくても真相は分かります。

以上をもって評価させていただくと、残念ながら☆一つの評価かな、と思います。

関係ないですけど、この方男性作家さんなんですね。「リピート」の時も思いましたが、やたら男性中心的な恋愛感で書かれるなぁ、とは思っていましたが・・・。男性である私でもあまりいい気もちがしなかったので、そういう考え方が嫌い（そんなにあからさまではないですが）な方は避けたほうが無難かもしれません。",
,,1,"いまいち。
",謎を解きたいがために無理やり最後まで読んだ感じです。あまりお勧めしません。,
,,1,"わたし的には「ナシ」
","映画の予告とかでみて気になって買ったものの、なんか残念って感じで。
読み終えるまでストーリーが平坦というか。つまらん。それでも最後のどんでん返しを知る為になんとか読んだけれど、結局、へえ、そうなんだ、程度でした。
終わり方もちょっと綺麗じゃないしさ。

好きな人にはいいかもしれないけど、わたし的にはナシ。買うのも損したし、立ち読みで十分かと。",
,,5,"恋愛小説？くだらねー
",まぁ評価高いし読んでみるか。 読み終わった時の衝撃は今も忘れません。想像を絶する程でした。作者に見事やられます。読了後、暫く放心状態が続きます。 最後の2行で物語が全く違う。大げさなタイトルで過大広告してる作品が幾つもある中で、この作品はそれに恥じない内容でした。思わず人に勧めたくなる作品です。 良作。,
,,2,"期待はずれ
","そんなにワーワー騒ぐほどのトリックじゃないような…。
ミステリー好きの人間にとってみたら、「あぁ、なんだ」となると思います。
そしてどなたかもおっしゃっていましたが、その隠されたトリックを知るために読むにはあまりに退屈な内容で、深みがない。薄っぺらい。
私にはちょっと合いませんでした。",
,,3,"一回で十分…そして
",一回しか読みたくない内容でした。登場人物がもれなく不愉快な小説。確かに通過儀礼。振り返りたくありません。,
,,1,"この小説ミステリー・・・？？
",普通の恋愛物語・・有田さん（くりーむしちゅう）の感想が不思議です。,
,,5,"A面とB面ってそういうことか・・・。
",前篇と後編がA面とB面て呼称されてるんだけど、単に時代背景を投影した表現じゃなかったのか・・・。,
,,3,"とにかく長い
",5分の漫才に例えると、4分50秒ネタ振りで、最後オチが一個。位の感覚でとにかく退屈。自分なりの速読術を開発できました。(しおりを文の右側に置き、漢字だけを目で追ってしおりをスライドさせていく)そんな辟易した感じだったのでオチも違う解釈してて、ネタバレ解説読んでやっと、理解しました。(なるほど~、よく練られてるんだ、面白いんだろうな、きっと)とにかく疲れた。,
,,1,"駄目。
","解説本とか出てる時点で、本書がどれほど未熟で読者に伝わらなかったかがわかるというもの。

文章にも魅力がなく、読み進めるのが苦痛でした。

普通、こういうトリックだったら、「ああ～、やられた！」となるところも、「で、なに？」って感じです。

TSUTAYAのおすすめ文庫コーナーで、やたら芸能人を使って『二度読み返したくなる』とか煽ってたんで、図書館で借りて読んでみたけど、全然。むしろ時間損したわ。

加えて言うなら、初版本は誤字・脱字多すぎ。ちゃんと校正かけろよ。",
,,4,"えぇ～!!そんなぁぁぁ!!
","普通の恋愛小説のような感じだけど、最後にどんでん返し!! 確かにもう一度読みたくなりました◎

好き嫌いはあるかもしれないけど、女性は結構好きな人が多いんじゃないかなと思います。",
,,1,"再読する気になれません。（ネタバレあり）
","一通り読みました。が…

とにかく平凡な恋愛話がダラダラと続き途中で眠くなります。
そのため斜め読みしている部分がかなり多くなりました。
また伏線として何度も登場するドラマや音楽、時事ネタですが
80年代当時小学生だった自分には時系列の違和感をあまり感じらません。
Side-AとBの主人公の雰囲気の違いも
「彼女できて急にイヤな奴になったなぁ」としか思っていませんでした。
そのため、肝心のラストは作者の意図とは違う解釈をしていました。

美弥子に浮気されている→でも俺もマユに同じことをした→
恋愛ってこんなもんだよな→気が付かないフリでそのまま付き合う

結局「なんで2回読みたくなるんだ?!」と謎に包まれました。

あとがきと用語辞典を読んでも意味がわからず
(紙に年表とか書き出すのもメンドクサイ)
ネットの解説サイトを見て「あぁ、そういうことなんだ～」
この作品のファンの方は再読して楽しむ所なんでしょうが
またこの眠たい話をイチから再読する気になりません。

やっぱりどんでん返しモノってタイトにまとまってこそだと思うな…","美弥子
マユ"
,,2,"私なら友人に薦めたりはしない
",確かにトリックはよく出来ていると思いますが、いかんせんストーリーがつまらなすぎます。また、最後にたどりつく真実がガッカリな内容だけに読後感も良くありません。読んで損したとは思いませんでしたが、自信を持って他人に薦められるようなモノではなかったです。,
,,5,"面白かった！
",最後のどんでん返し、まったく予想がつきませんでした！二回目に読んだ時、パズルのように全てが繋がっていく感じがよかったです！,
,,1,"星なし
",最低の本。これを面白いと言っている方は多分本を普段読まない方達。ネタバレどころの話ではない。くだらない。,
,,1,"駄作
","時間とお金のムダ。

文学的でも、教養的でも、何でもなく、駄作。

自己史上worst 3に入る。",
,,3,"最後から二行目に隠される衝撃の事実・恋愛系叙述トリックの決定版
","最後から二行目に隠される衝撃の事実・恋愛系叙述トリックの決定版
http://on-the-road.co/?p=1058",
,,5,"本格的よりも初心者向け
","昔からある手法などと否定的なことを言う人もいますが、
犯人探しや、トリックを暴く類の小説ではないので、
作者がちりばめた伏線探しを楽しみましょう。
読みやすくて初心者はお勧めです。",
,,2,"ダメでした
","お好きな方には申し訳ないですが、私はこの小説はつまらなかったです。
実際、二回読みました。
でも、それは楽しむというよりはただの確認作業でしたね。
トリックには感心しましたけど、でもそれだけ。
作者は意図的にそうしたのかもしれませんが、ストーリーや登場人物があまりにも陳腐です。
すごく薄っぺらい。
クソ面白くないと思いつつ、ラスト二行を読むためだけに我慢を強いられた感じです。
読後の感想としては、作者の自慰行為に付き合っただけって気分ですね。",
,,1,"うーん・・
","サイドＡまではどんな仕掛けがあるんだろう？とワクワクしながらしっかりと読みましたが・・まぁ。内容が薄い・・
サイドＢ読み始めた所で所謂驚きのトリックを予想してしまってからは、もうただただ読み進めるのが辛かったです；
結果最後の2行を見ても、うん、そうだよね　でおしまいでした。他に楽しい読み方があるのではないかと解説サイトなども見て回りましたがうーーん・・

ミステリ慣れしてる方が読んだらきっと大体は見当が付くことばかりですし、恋愛小説としても私には魅力を感じませんでした。
残念です；",
,,4,"イニシエーションラブ 
","乾くるみさんという女性作家さんの作品で、初めて読みました。恋愛サスペンスです。
中身は普段の生活における恋愛模様が進行されてますが、最後の2行目でどういう事だ?と疑問が出て来てきます。
本の裏側に書いてあるとおり、もう一度読まなくては…とさせてくれる一冊です。",
,,2,"言われてるほど
","面白くはない
たいていの人間はトリックに気づくのでは?
そもそも叙述トリックですよと言われて読んだのでは、叙述トリックの意味はない
これから読む大半の人間は叙述物とわかって読むんだろうから驚きは薄いと思う

何にしろ言われてるほど面白くなかった",
,,2,"言われてる程じゃない
","最後の二行で一気にそれまでの流れが謎になる!もう一度読みたくなる!という話を知人から聞き、謎解きやリアル脱出ゲーム好きな自分は意気込んで購入してみた。
謎を解きたい一心で、苦手なラブストーリーでもイラつく文章でも、読み逃さない様にと四苦八苦しながら読み進めた。
…が、後半を読みながら感じていた事が、最後の文章までたどり着いた所でやっぱりか～と拍子抜け。
まさかこれだけで終わらないよね?更なるどんでん返しがあるよね?と期待した自分がバカだった。
二度読まなくてもわかるじゃないか。解説ではご丁寧に太字でネタばらしまでしてあるし、これ再読の為のものではなく単なる解答だよ…。 (大体、カセットのA面が回っている時は裏のB面は逆回転していると考えなければおかしくないか?) もっともっと巧緻な叙述トリックが使われているのかと思っていたのに…。 正直、なぜこれほど感心している人が多いのかが一番の謎。
ミステリを期待して読むべきではないですね。",
,,2,"ネタばれ
",夕樹も辰也も好みじゃなかった。夕樹はむっつり。辰也は酔うとDV男。辰也は言い寄られ、始めは拒むようなこと言っときながら、結局、二股を。堕胎させておきながら、誠意を感じさせない言動行動。最低だなって。同じ二股をしてても、マユコは健気で可愛い。辰也に見切りをつけて、夕樹と付き合い始めたんだろうなって。陰キャラで特別好きって訳じゃないけど、夕樹と幸せになってほしいかな。,"夕樹
辰也
マユ"
,,2,"つまんない小説
","正直つまんない。友達がこれめっちゃ良いって薦めてきたので、買いました。最後から二行目を見たかったけど見ないように我慢して読み、
本のストーリーは、どこにでもありそうな恋愛小説で平凡。正直つまんなかったけど最後に期待して読みました
確かに最後読んで、えって思ったけど
話の途中からしてマユが二股してそうだなとか思ってたしタックンの性格違うし
あー、そっかーって思っただけ。
特にそんなびっくりするほどでもなく、話がつまんなさすぎて２度目読み返したいかっていったら....んー...
それより途中イライラすることだらけ。いやいやコンドームくらいつけろよとかマユもちゃんと拒否れよとか、後半のタックンの最低な態度にイライラ。
しかも時代背景も、昔のものなので知らない名前出てくるしあのドラマも本当にあったやつなんて知らなかった
最後のアッていうのに期待して我慢してつまんない話読んだのに、その結果「あー、そーゆーことねー」ってそんな驚くほどでもなく...
ただ、恋愛小説好きな人で、あの時代に青春してた年代の方には懐かしい、面白いと思えるんではないでしょうか?","マユ
タックン"
,,1,"正直微妙・・・
","普段恋愛小説を読まない私ですが、友人に勧められて本書を読みました。

恋愛小説をあまり読まない、それほど好きではない…という理由もあるかもしれませんが、正直に言えば面白くなかった。

この小説は男性視点の一人称で話が進むわけなんですが、まず考え方に共感できない。
ところどころで「それはどうなんだ…」という箇所が個人的にありました。作中で合コン行くやつ云々言ってるけど、君みたいな奴がまさにそういう人種でしょう…と突っ込みたくなった。

そしてトリック自体もそれがわかったところで別に感動は無かった。

友人になんて感想言って返すか考えてしまう。まぁ確かに確認のために前のページは読み直しました。そういう意味では２回読むにあたるのか…。",
,,4,"構えて読むと
","早い段階でトリックに気付いてしまいます・・・
このような構成で使えるトリックは限られているので仕方ありませんが。

気付いた後は素直に話だけを楽しみました。
恋愛物の小説としても楽しめてお徳かも知れません。",
,,2,"ミステリー？好きはすぐに分かる伏線とオチ
","友人に借りたのですが買わなくて正解。読み直しません。だからと言うべきか、数段時間を無駄にしたという感想もないです。
オチの方は、早々に気づいてしまいました！ミステリー好きなら分かりやすいと思います。伏線もものすごく分かりやすく伏線として書かれているので、映画の煽り文句の「あなたは二度読む」ことはなさそうです。
謎解きもそれ程感心するものではないです。はっきり言って目次から引っかかってた私からいうと、トントン拍子でどんでん返しも何もなく、ただの恋愛小説を読んでいる気分でした。ミステリーなくして読む方は、話の面白さとしては本当に星二つ分。ただ、人の心の移り方という人間の感情の機微、変化の描写は上手いと思います。

文章も話作りもうまい作家さんなのですが、今作はあまりにもどんでん返しとされるオチありきでストーリーを練ってしまったと言うべきでしょうか。なんだか惜しいです。
率直に言うと、第2章目からオチがわかってしまった私にとってこれはミステリーでなく、人の心の変わり方を描いた恋愛小説という位置付けです。",
,,1,"別に驚きもしない
",トリックに気付かない人がいることに驚きます。sideBを読み始めてすぐにわかってしまいました。だって同一人物だと思えませんから。本当につまらない小説でした。ブックオフで買って良かった。,
,,5,"普通の人なら楽しめるでしょ
","僕はすっかりだまされたクチですが、全貌を理解するのにしばらく時間がかかりました。

まずは自分で解釈した後、それでもしっくりこなければネットで検索すると分析している人がいるので、細部まで描かれていることが理解できます。

普段本を読まない人にも読んでほしい作品ですね。",
,,1,"苦痛すぎる
","スリープを読んでからもやもやを張らそうと2冊目に選んだのが評判高そうなこの本でした。

帯を信じて今ルビーの指輪の章まで来ましたがもう読むのを何度放棄したくなったかわかりません。とにかく読み進めるのがつらい。

ミステリー要素があるらしく、帯の通りどんでん返しを待ってますが…最後の2行までは普通の話だとしたならば、こーんな退屈な恋愛日記のような話だけつらつら進むのが許されるのか?や、そんなはずはないだろう…と半信半疑でここまで来てしまいました。

そんな読者家でもないんですがベタベタな?恋愛小説ってこういう本のようなものなんでしょうか。世間でこういった話が受けて評価される現実があることも心から信じられません。

なんか大分かなり大昔の時代っていうのもありますがそれ踏まえても色々めんどくさいですこの本。ここまできてどんでん返しならあれがこうでこいつがこうなんだろくらいしか陳腐な想像しかありませんがまさかそんな陳腐なありきたり以下のつまらないオチはやめてよねという思いで読みきるか悩んでます。とりあえず人にはオススメ出来ません。罰ゲームならもってこいです。",
,,1,"おもしろくない
","まずストーリーはつまらないです。
そして、肝心のトリックですが、最後の２行読んで、伏線とか分かって面白いという人がいますが、
最後まで読まなくても普通に２股で同時進行の話だと思って読んでたので、
まさかそれだけがオチだなんて思わなかったです。
非常につまらない。",
,,1,"違う意味でびっくりしました
",四分の一ほど読み、好みの話でなく、読み進めるのが困難になっていて、読むことを止めることにしました。でも最後の二行が、びっくりと本屋に書いてあった宣伝を思い出し、最後の二行を読むことによってようやく、最後まで読めるようになりました。なんで驚いてもいないし、とにかくＡ面もＢ面もつまらない小説だなあと思い、ただとても後味が悪い感覚を味わいながら、飛ばし読みでなんとか終了。それにしても、、何がこんなに読後が気持ち悪いんだろうと、、、ネットで調べてみて、物語の時系列に驚いたことよりも、作者が男だったということに驚きました。くるみって、名前に騙されました。いやあ、これ書く女流作家が想像つかなくて、何よりミステリーでした。主人公がヒロインを好きな理由が、マスコットというか、ペットというか、とにかく浅い感じがして、それが物語にクールさおびて妙なミステリー感増しているような気がします。,
,,1,"たしかにトリックとしては並以下。
","何らかのトリックがあるという前提で本書に接した場合、

そもそも目次にサイドＡとＢがある時点で、

綾辻行人の『殺人鬼』を思い出し、結末を予想してしまう人も、

いるのではなかろうか。

（私も「たぶん、そうであろう」と考え、「サイドＢ」に入った時点で、

ある「確信」を抱いた）

この手の小説を全く読んでいない人なら、驚くと思うが…。

『殺戮に至る病』や『ロートレック荘』の場合には、

「“単純なトリックに気づかなかった理由”が読者の内面にある」

と気づいて、作者の意図に感心させられる点があったが、

この作品には感心しなかった…。

作者の慎重かつ大胆な筆致と、その結果に驚く、という点ならば、

泡坂妻夫が『生者と死者』などの驚異的作品を書いているし、

ここは辛い点数を付けざるを得ない。",
,,1,"トリックだけ
","「最後から二行目で、本書は全く違った物語に変貌する」という煽りが気になって読んでみましたが・・・、
単純に、ラストに行きつくまでの話が全く面白くないってだめじゃん。
それなりに売れている本で、こんなにつまらない本を読んだのは初めてで、それがラスト2行よりびっくりです。",
,,1,"退屈な小説
",別人の話になってるのはちゃんと読んでればすぐ分かる。だからこそ、何かもっと大きな仕掛けがあるのかと期待してたのに…。退屈なストーリーに耐えて最後まで頑張って読んだけど、時間の無駄でした。ミステリーではないし、恋愛小説としてもつまらない,
,,1,"だからどうなの？という本
","口コミで読んでみた。
確かに「いっぱい喰わされた」という驚きはあるものの
同時に「だからどうなの？」という
沸々とした物足りなさが残る。

ジグソーパズルをやっているのと変わりない。
小説は、もっとエンターテイメントだったり
ハラハラドキドキしたり、
登場人物の心情にシンクロしたり、、、。
そういうトリックとは別の視点で読むと
何も残らない。この物語でも出てくるが、
手品は一瞬で終わる。でも一冊何時間か読んでみて
オチがわかっだけで満足できるんだろうか？
少なくとも私は満足できない。",
,,2,"期待してたけど・・。
","きつかった・・。ただ単純に読み物としておもしろくない。
気持ち悪い。どの登場人物も気持ち悪い。
読んでてイライラ・・。帯の最後の２行は・・・！！というのを望みに読んだけど期待していたよりは驚かなかった。
意識しないでよんだ方が良い",
,,2,"最低な読後感
","トリック自体はsideBを読んですぐに気づいたのですが、読み終わった後の何とも言えないモヤモヤ感。
なぜこんなにこの本が絶賛されているのだろうと思い、レビューを読んでようやくスッキリしました。
作者が男性なんですね。
男性目線の男性の独りよがりの物語。
何がイニシエーションラブだ、綺麗にまとめようとしてるんじゃないよ。胸糞悪いと思いました。",
,,3,"読後感は今ひとつでした。
","緻密な伏線と綿密なミスリードによる、構成力の高い作品です。
ですが、この表記では『最後の二行』を読んだ直後でも、物語の全貌を把握できない方が
多いのではないでしょうか。
読後、考察サイトの閲覧が必要なものを本当に秀作と呼べるのか、私的には疑問です。
ミステリを読み込んでいる方には今更の仕掛けのようですが、「解る人には解る」では、
少なくとも万人に愛される書とは言えないと思います。
楽しめる方とそうでない方が分かれる作品という印象です。",
,,3,"期待し過ぎた…ネタバレ有
","しゃべくりで有田がオススメしてたから、買ってみた。
なんか…A面夕樹は完全純粋、B面辰也になったらいきなりキレる、口調も悪い…繭子と会った大学の友達の話もでてこない…完全に違う人でしょ？と気づいた(^◇^;)
でもそれ以上の何かがある！と思って読んでましたが無かったです。同時進行だったのは気づかなかった～！
話はベタベタの恋愛で全然好かないですm(_ _)m","夕樹
辰也
繭子"
,,2,"少し、こどもだまし
","ネタバレした時点で、ちょっとガッカリ。
正直、時間返してという感想。",
,,5,"レビューは読んじゃ駄目
","お願いだからこんなところでネタバレしないでくださいよ…と言いたくなります。
私がこれを読む前にここのレビュー読んでたら絶対レビュー書いた人恨んでます。
思い切りネタバレしてる人がちらほらいるので未読の人のために書かせてもらいました。
この小説にあるのは予備知識がないからこその魅力です。

とにかく読む前にレビュー読んじゃいけません。絶対楽しめる！とは言えませんが個人的には今まで味わったことのないような本の面白さを体感できました。
読み終えた後が本当の始まり。予備知識なしで、是非軽い気持ちで読んでみてください。おすすめです。",
,,1,"怒りがこみあげてくる程に何もストーリー性がない。
","怒りがこみあげてくる程に何もストーリー性がない。

こんなにも苦痛な本は初めて。
絵本?じゃんないんだから乾さん頼むよ。 初めて投稿させて頂きました。
これ以上被害者が増えないために。",
,,1,"面白くなった
","『Ｊの神話』は馬鹿馬鹿しくて面白かったが
これはいただけない。
とにかく最後まで読んでどこをどう騙されたのか
まったくわからず。
名前のことなんかすっかり忘れてましたよ(笑)。一回でわかった人はさぞ記憶力のいい頭のいい人なんでしょうね。",
,,5,"今まで読んだ本の中で一番
",ゾッとした。読んでからしばらくたった今でも思い出す度にゾ～～～～ッとします。,
,,1,"ミステリーではなく恋愛小説
","騙されるとかどんでん返しとかミステリーを期待して読むと楽しめないと思います。
これは、恋愛小説が好きな方が単なるラブストーリーだと思って手に取るべき本だと思います。
わたしは恋愛小説を好んで読まないので、正直、最後の2行まで読めませんでした。
結局、中盤で堪えきれなくなって最後の2行を読み、なるほどそういうオチかと確認してから答え合わせのように流し読みしました。
つまり、平坦に進む恋愛小説を面白いと思える方でなければ、楽しめない作品かと思います。",
,,1,"どこがミステリー？
","「最後の2行で物語が変貌する」と語っていたので期待して読み始めたが、そのオチはサイドBが始まって数行ですでに読めるほど非常に陳腐なものであった。
私が淡々と普通に読み進めて普通に理解できたものが、他の多くの人の感想やレビューで「驚愕のどんでん返し」「こんな面白い話は初めて」「すごいトリック」と書かれていることに、そこに驚愕した。
オチもトリックもない、と私は感じた。もちろん皆が何を「トリック」「オチ」と指しているのかは分かっている。だが、そんなものは私に言わせれば、オチでもトリックでもなんでもない。
見え見えの伏線に、見え見えのストーリー、それでもこれだけ謳われているからには、オチやトリックはそんなものじゃなくて、もっとすごいものが待っているのだろうと最後の2行まで信じて読んだ。
しかし、やはりとっくに気づいてた見え見えの答えが、オチやトリックだったと知って、ひどく落胆した。
私は読書が好きで、ミステリーが大好きなのだが、なぜこの見え見えのオチが驚愕に値するものなのか、なぜこんなことがトリックと言われるのかが、全く理解できない。普通にしっかりと本を読んでいれば、普通にオチもAとBの関連性も見えてくる。そこにミステリー性なんて何もない。
この本が絶賛されてることが、非常に残念だ。
今まで読書をして損したと思ったことは一度もなかったが、こればかりは貴重な休日の時間を無駄にしたと思わざるを得ないくらいのひどい内容で、憤りをおさえられず、レビューをどうしても書きたかった。
これはミステリーなんかじゃない。ただの恋愛小説。
なんの仕掛けもない普通の恋愛小説、である。",
,,1,"※ネタバレ注意※
",side Bで最初から違う鈴木と付き合ってたことにすぐ気づいてしまった自分はなんなんだろう（笑）,"鈴木
"
,,1,"気付かない人は馬鹿
",どう見ても全く別人なのに同一として読む人がいることに驚きです。sideBの最初から別人だと思っていた私には、本当に下らない恋愛小説でしかありませんでした。下らない。,
,,1,"低俗で陳腐な恋愛小説
2度読みしたくなるどころか、1度読んで、すぐに処分した本はこれが初めて、かもしれないぐらい、浅い内容の、性描写だけが醜く低俗な本でした。初めてちょっとだけいやらしい、軽い内容の恋愛小説を読んでみたい子にはまあ簡単に読める本かもしれませんが…本好きな方にはおすすめしません。",,
,,1,高い評価を受けているが・・・,"トリックというか仕掛けは並みのショート・ショート程度。
作者本人も認めているようだが、本作の大部分を占める恋愛小説部分は凡作なので、
「やられた！」どころか「何それ？」というのが読後の感想である。
「２回読む～」というのも、内容が優れているため２回読みたくなるわけではなく、
長文の中に埋もれて分かりにくくなっている伏線を
発見するためと理解する方が正確だと思う。
本作品を面白いと思うならば、星新一氏が選者の「ショートショートの広場」を
読んでほしい。おそらく同程度のコストで、より高次元の仕掛けが
施された作品に数多く出会えるだろう。
なお、先に「ショートショートの広場」を読んでしまうと、
本作品で驚かされる確率は大幅に低下する可能性が高いので要注意。",
,,1,"・・で？
","内容が薄っぺらいだけ。
読者を馬鹿にしてんの?

ただ日本で多い名字使ってるだけ。
とても2回読もうなんて思わない。
買うのすらもったいない。",
,,5,"発送も返金処理も迅速
","2冊目以降50円返金の記述はあいまいでしで返金額が0から2冊目以降の冊数×50円まで想定されますが,結果は最善でした。
1円の物を買っても送料から50円×(買った冊数-1)が返金されます。
「若干の使用感がある」旨の商品群を買いましたが、古書であることを承知の上で買った側としては十分以上の綺麗さでした。",
,,3,"物語としてどう評価するか？！
","「ラスト2行で、物語がひっくり返る」というキャッチコピーに釣られて、手に取った一冊である。確かに、キャッチコピー通り、ラストの2行で、物語がひっくり返り、それなりの衝撃を味わうことができる作品である。
ただ、個人的には、高評価はできない作品であった。なぜならば、「ラスト2行で、物語がひっくり返る」という部分を抜きに考えた場合、本作品の面白さがどこにあるか全くわからないからである。私には、ラスト2行で、物語をひっくり返すためにだけに、物語が進んでいるようにすら思えてしまう。
純粋に物語として評価した場合、星二つ。それに「ラスト2行で、物語がひっくり返る」という創意工夫が加味されて、プラス星一つ。そんでもって、全体評価としては星三つ。これくらいの評価が妥当な作品だと思う。",
,,1,"読むのがツラい。
","謎解きだけで満足出来る人は読むといいでしょう。
ストーリーに面白さを求める人は、むしろ読まない方がいいでしょう。
私は後者だったので、もう苦痛で苦痛で仕方ありませんでした。（夫に勧められたので読まざるを得ず…(泣)）
いくら最後にどんでん返しが待っていると言われても、そこに至るまでの過程が面白くないのではしょうがない。
とにかくただ淡々とただの恋愛模様が続いて行くだけで、なーーーんにも面白くないのです。
このレビューにもちらほら見えますが、自分が面白いと思ってもこの本は万人受けしません。人に薦めないで下さい。つまらなかった時感想言えずに困るから！(苦笑)

以下は一読している人だけ読んで欲しいですが、「男女7人」とか、最終的には謎解きキーワードになるらしいですが、一読目の時に突然出てきた時は「なにそれ？ドラマの事でそんな劇中で盛り上がられてもね…私見てなかったし。」完全においてけぼり感。
これで、「話」自体が面白かったら凄いと思うのですが、凄い…というか、手が込んでいるのはあくまで「謎解き」であり、「話」は全く面白くなわ、主人公にもヒロインにも感情移入できないわ、もう読んでて苦痛…というか、ごめんなさい。飛ばし読みしました。
一応「最後から二行目」のどんでん返しには気付いたのですが、もう面倒くさくてあの苦痛を再び味わうなど耐えられず、サクッとネタバレサイト読んで、謎解きに関しては感心して、それでオシマイ。
最初10ページ読んでつまらないと思った本は、最後まで読んでもつまらないという事が実証されたという意味で、今後の訳には立ちました。",
,,1,"ミステリーは言い過ぎです
","映画の予告編がうすら寒くムカついたので、絶賛された謎を解いてやろうと購入しました。昔に流行った「恋空」とか、そういったものが好きな人なら楽しめるんじゃないでしょうか。
謎解きどころかただ苦痛でした。2chの家庭板の方がずっと楽しめます。",
,,1,"書店のポップに騙されました・・・
","本当にびっくりするくらい、面白くなかった・・・

なんで話題になってるのかすらわからない作品。

私の思い込みですが、いつ事件がおこるのかと思いつつ、のらりくらりの恋愛模様を読んでいたのですが
元から恋愛ものが苦手だったのでめちゃめちゃ時間がかかりました。

そして最後のオチ？？？？？？？本を投げたくなりました。

ミステリーや作りこんだお話しが好きな方には到底おススメできません。",
